"" ,"SampleID" ,"Species" ,"Colony" ,"Volume" ,"HPC" ,"PercentBleached" ,"PercentDead" ,"TrayNum" ,"TrayWt" ,"DW" ,"AW" ,"AFDW" ,"pcAFDW" ,"SA" ,"Check" ,"Compromised" ,"Aqua" ,"Tank" ,"Nuts"
"33" ,11 ,"Montipora" ,3 ,3 ,"C" ,3 ,0 ,280 ,1.00837 ,3.06683 ,2.91003 ,0.1568 ,0.0511277116762258 ,14.5228631971786 ,NA ,TRUE ,33 ,"Far" ,"High"
"34" ,12 ,"Montipora" ,1 ,6 ,"C" ,0 ,3 ,140 ,1.32516 ,4.54424 ,4.31034 ,0.2339 ,0.0514717532524691 ,16.8318848870862 ,NA ,TRUE ,33 ,"Far" ,"High"
"35" ,12 ,"Montipora" ,2 ,2 ,"C" ,0 ,10 ,141 ,1.32596 ,1.95214 ,1.84674 ,0.1054 ,0.0539920292601965 ,7.36237243749234 ,NA ,TRUE ,33 ,"Far" ,"High"
"36" ,12 ,"Montipora" ,3 ,3 ,"H" ,0 ,0 ,142 ,1.32129 ,3.37701 ,3.19011 ,0.1869 ,0.0553448168646227 ,14.7152816713375 ,NA ,FALSE ,33 ,"Far" ,"High"
"37" ,13 ,"Montipora" ,1 ,3 ,"H" ,0 ,0 ,220 ,0.99555 ,2.70415 ,2.53185 ,0.1723 ,0.0637168796109683 ,12.1759886926823 ,NA ,FALSE ,13 ,"Mid" ,"Ambient"
"38" ,13 ,"Montipora" ,2 ,4 ,"H" ,0 ,0 ,221 ,0.99751 ,2.52349 ,2.33589 ,0.1876 ,0.0743414873845348 ,14.1190998415663 ,NA ,FALSE ,13 ,"Mid" ,"Ambient"
"39" ,13 ,"Montipora" ,3 ,4 ,"H" ,0 ,0 ,222 ,0.99173 ,3.52157 ,3.29727 ,0.2243 ,0.0636931823022119 ,21.4341562608229 ,NA ,FALSE ,13 ,"Mid" ,"Ambient"
"40" ,14 ,"Montipora" ,1 ,3 ,"C" ,0 ,30 ,311 ,1.77662 ,2.97448 ,2.82028 ,0.1542 ,0.051840994056104 ,14.3209815193725 ,NA ,TRUE ,13 ,"Mid" ,"Ambient"
"41" ,14 ,"Montipora" ,2 ,4 ,"H" ,0 ,0 ,312 ,1.76842 ,3.26408 ,3.03518 ,0.228899999999999 ,0.0701269576726059 ,19.8096396347267 ,NA ,FALSE ,13 ,"Mid" ,"Ambient"
"42" ,14 ,"Montipora" ,3 ,4 ,"H" ,0 ,0 ,313 ,1.76743 ,2.65867 ,2.49347 ,0.1652 ,0.0621363313235564 ,13.7752701090527 ,NA ,FALSE ,13 ,"Mid" ,"Ambient"
"43" ,15 ,"Montipora" ,1 ,5 ,"H" ,0 ,0 ,238 ,1.0258 ,2.9856 ,2.7902 ,0.1954 ,0.0654474812433013 ,13.2831835194003 ,NA ,FALSE ,13 ,"Mid" ,"Ambient"
"44" ,15 ,"Montipora" ,2 ,3 ,"H" ,0 ,0 ,239 ,0.99355 ,2.45495 ,2.26465 ,0.1903 ,0.0775168537037415 ,11.4157779996936 ,NA ,FALSE ,13 ,"Mid" ,"Ambient"
"45" ,15 ,"Montipora" ,3 ,1 ,"C" ,0 ,3 ,240 ,1.00853 ,0.93367 ,0.86267 ,0.071 ,0.0760439984148574 ,NA ,NA ,TRUE ,13 ,"Mid" ,"Ambient"
"46" ,16 ,"Montipora" ,1 ,5 ,"H" ,0 ,0 ,244 ,0.99757 ,3.59803 ,3.39253 ,0.2055 ,0.0571145877049385 ,21.285899403684 ,NA ,FALSE ,13 ,"Mid" ,"Ambient"
