Scan No ,Date, Time,RAW VALUE ,CALIBRATED VALUE
272,04/12/2015 , 09:30:00,1978,1978
273,04/12/2015 , 09:45:00,1908,1908
274,04/12/2015 , 10:00:00,5725,5725
275,04/12/2015 , 10:15:00,1945,1945
276,04/12/2015 , 10:30:00,4493,4493
277,04/12/2015 , 10:45:00,5170,5170
278,04/12/2015 , 11:00:00,7006,7006
279,04/12/2015 , 11:15:00,7467,7467
280,04/12/2015 , 11:30:00,10006,10006
281,04/12/2015 , 11:45:00,10075,10075
282,04/12/2015 , 12:00:00,9925,9925
283,04/12/2015 , 12:15:00,8936,8936
284,04/12/2015 , 12:30:00,5913,5913
285,04/12/2015 , 12:45:00,6732,6732
286,04/12/2015 , 13:00:00,4909,4909
287,04/12/2015 , 13:15:00,4602,4602
288,04/12/2015 , 13:30:00,3907,3907
289,04/12/2015 , 13:45:00,2873,2873
290,04/12/2015 , 14:00:00,2082,2082
291,04/12/2015 , 14:15:00,1606,1606
292,04/12/2015 , 14:30:00,1346,1346
293,04/12/2015 , 14:45:00,2098,2098
294,04/12/2015 , 15:00:00,1610,1610
295,04/12/2015 , 15:15:00,1482,1482
296,04/12/2015 , 15:30:00,1289,1289
297,04/12/2015 , 15:45:00,1087,1087
298,04/12/2015 , 16:00:00,970,970
299,04/12/2015 , 16:15:00,814,814
300,04/12/2015 , 16:30:00,562,562
301,04/12/2015 , 16:45:00,520,520
302,04/12/2015 , 17:00:00,429,429
303,04/12/2015 , 17:15:00,235,235
304,04/12/2015 , 17:30:00,156,156
305,04/12/2015 , 17:45:00,93,93
306,04/12/2015 , 18:00:00,31,31
307,04/12/2015 , 18:15:00,5,5
308,04/12/2015 , 18:30:00,3,3
309,04/12/2015 , 18:45:00,3,3
310,04/12/2015 , 19:00:00,3,3
311,04/12/2015 , 19:15:00,3,3
312,04/12/2015 , 19:30:00,3,3
313,04/12/2015 , 19:45:00,3,3
314,04/12/2015 , 20:00:00,4,4
315,04/12/2015 , 20:15:00,3,3
316,04/12/2015 , 20:30:00,3,3
317,04/12/2015 , 20:45:00,3,3
318,04/12/2015 , 21:00:00,3,3
319,04/12/2015 , 21:15:00,3,3
320,04/12/2015 , 21:30:00,3,3
321,04/12/2015 , 21:45:00,3,3
322,04/12/2015 , 22:00:00,3,3
323,04/12/2015 , 22:15:00,3,3
324,04/12/2015 , 22:30:00,3,3
325,04/12/2015 , 22:45:00,3,3
326,04/12/2015 , 23:00:00,3,3
327,04/12/2015 , 23:15:00,3,3
328,04/12/2015 , 23:30:00,3,3
329,04/12/2015 , 23:45:00,4,4
330,04/12/2015 , 24:00:00,3,3
331,05/12/2015 , 00:15:00,3,3
332,05/12/2015 , 00:30:00,3,3
333,05/12/2015 , 00:45:00,3,3
334,05/12/2015 , 01:00:00,3,3
335,05/12/2015 , 01:15:00,3,3
336,05/12/2015 , 01:30:00,3,3
337,05/12/2015 , 01:45:00,3,3
338,05/12/2015 , 02:00:00,3,3
339,05/12/2015 , 02:15:00,3,3
340,05/12/2015 , 02:30:00,3,3
341,05/12/2015 , 02:45:00,3,3
342,05/12/2015 , 03:00:00,3,3
343,05/12/2015 , 03:15:00,3,3
344,05/12/2015 , 03:30:00,3,3
345,05/12/2015 , 03:45:00,3,3
346,05/12/2015 , 04:00:00,3,3
347,05/12/2015 , 04:15:00,3,3
348,05/12/2015 , 04:30:00,2,2
349,05/12/2015 , 04:45:00,3,3
350,05/12/2015 , 05:00:00,3,3
351,05/12/2015 , 05:15:00,3,3
352,05/12/2015 , 05:30:00,3,3
353,05/12/2015 , 05:45:00,3,3
354,05/12/2015 , 06:00:00,3,3
355,05/12/2015 , 06:15:00,3,3
356,05/12/2015 , 06:30:00,3,3
357,05/12/2015 , 06:45:00,5,5
358,05/12/2015 , 07:00:00,21,21
359,05/12/2015 , 07:15:00,111,111
360,05/12/2015 , 07:30:00,235,235
361,05/12/2015 , 07:45:00,286,286
362,05/12/2015 , 08:00:00,751,751
363,05/12/2015 , 08:15:00,779,779
364,05/12/2015 , 08:30:00,879,879
365,05/12/2015 , 08:45:00,1441,1441
366,05/12/2015 , 09:00:00,6838,6838
367,05/12/2015 , 09:15:00,4430,4430
368,05/12/2015 , 09:30:00,1667,1667
369,05/12/2015 , 09:45:00,1503,1503
370,05/12/2015 , 10:00:00,2772,2772
371,05/12/2015 , 10:15:00,2856,2856
372,05/12/2015 , 10:30:00,2329,2329
373,05/12/2015 , 10:45:00,2381,2381
374,05/12/2015 , 11:00:00,3976,3976
375,05/12/2015 , 11:15:00,4362,4362
376,05/12/2015 , 11:30:00,3803,3803
377,05/12/2015 , 11:45:00,5612,5612
378,05/12/2015 , 12:00:00,7940,7940
379,05/12/2015 , 12:15:00,9187,9187
380,05/12/2015 , 12:30:00,6309,6309
381,05/12/2015 , 12:45:00,7067,7067
382,05/12/2015 , 13:00:00,5629,5629
383,05/12/2015 , 13:15:00,5335,5335
384,05/12/2015 , 13:30:00,5246,5246
